date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:39:11	188508/188508	---M--	200	added ('OK')	font/ttf	etag:%2214dc3653-2e05c-57ab062902580%22	https://sojonever.com/html/zuman/fonts/ionicons.ttf?v=2.0.1	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/fonts/ionicons790f.ttf	(from https://sojonever.com/html/zuman/css/ionicons.css)
13:39:11	67904/67904	---M--	200	added ('OK')	font/woff	etag:%2214dc3654-10940-57ab062902580%22	https://sojonever.com/html/zuman/fonts/ionicons.woff?v=2.0.1	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/fonts/ionicons790f.woff	(from https://sojonever.com/html/zuman/css/ionicons.css)
13:39:12	6936/6936	---M--	200	added ('OK')	application/javascript	etag:%2214dc3685-1b18-580271ee5a680%22	https://sojonever.com/html/zuman/js/main.js	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/js/main.js	(from https://sojonever.com/html/zuman/index.html)
13:39:13	54492/54492	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2214dc3655-d4dc-551ea40dd5f00%22	https://sojonever.com/html/zuman/fonts/mobirise.eot	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/fonts/mobirise.eot	(from https://sojonever.com/html/zuman/css/mobiriseicons.css)
13:39:13	333834/333834	---M--	200	added ('OK')	image/svg+xml	etag:%2214dc3652-5180a-57ab062902580%22	https://sojonever.com/html/zuman/fonts/ionicons.svg?v=2.0.1	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/fonts/ionicons790f.svg	(from https://sojonever.com/html/zuman/css/ionicons.css)
13:39:14	54304/54304	---M--	200	added ('OK')	font/ttf	etag:%2214dc3657-d420-551ea40dd5f00%22	https://sojonever.com/html/zuman/fonts/mobirise.ttf	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/fonts/mobirise.ttf	(from https://sojonever.com/html/zuman/css/mobiriseicons.css)
13:39:14	54380/54380	---M--	200	added ('OK')	font/woff	etag:%2214dc3658-d46c-551ea40dd5f00%22	https://sojonever.com/html/zuman/fonts/mobirise.woff	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/fonts/mobirise.woff	(from https://sojonever.com/html/zuman/css/mobiriseicons.css)
13:39:15	1045/1045	---M-Z	404	error ('Not%20Found')	text/html	etag:%2214dc347b-415-5756f1e1836db;58145f4930c60-gzip%22	https://sojonever.com/html/zuman/css/owl.video.play.png	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/css/owl.video.play.31.delayed	(from https://sojonever.com/html/zuman/css/owl.carousel.min.css)
13:39:16	1569/1569	---M--	200	added ('OK')	image/png	etag:%2214dc3664-621-57c58a3863080%22	https://sojonever.com/html/zuman/img/dot-light.png	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/dot-light.png	(from https://sojonever.com/html/zuman/css/main.css)
13:39:18	221828/221828	---M--	200	added ('OK')	image/svg+xml	etag:%2214dc3656-36284-551ea40dd5f00%22	https://sojonever.com/html/zuman/fonts/mobirise.svg	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/fonts/mobirise.svg	(from https://sojonever.com/html/zuman/css/mobiriseicons.css)
13:39:18	29223/29223	---M--	200	added ('OK')	image/jpeg	etag:%2214dc367b-7227-57ffff8f8db80%22	https://sojonever.com/html/zuman/img/work_details_01.jpg	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/work_details_01.jpg	(from https://sojonever.com/html/zuman/work-details-1.html)
13:39:18	8551/8551	---M--	200	added ('OK')	image/jpeg	etag:%2214dc3673-2167-580001a3b4300%22	https://sojonever.com/html/zuman/img/work_02_03.jpg	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/work_02_03.jpg	(from https://sojonever.com/html/zuman/work-details-2.html)
13:39:18	9738/9738	---M--	200	added ('OK')	image/jpeg	etag:%2214dc3672-260a-580000cffcf80%22	https://sojonever.com/html/zuman/img/work_02_02.jpg	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/work_02_02.jpg	(from https://sojonever.com/html/zuman/work-details-2.html)
13:39:19	6011/6011	---M--	200	added ('OK')	image/jpeg	etag:%2214dc3674-177b-58000297d8300%22	https://sojonever.com/html/zuman/img/work_02_04.jpg	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/work_02_04.jpg	(from https://sojonever.com/html/zuman/work-details-2.html)
13:39:20	32072/32072	---M--	200	added ('OK')	image/jpeg	etag:%2214dc367c-7d48-58000780c9880%22	https://sojonever.com/html/zuman/img/work_details_03.jpg	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/work_details_03.jpg	(from https://sojonever.com/html/zuman/work-details-3.html)
13:39:20	35827/35827	---M--	200	added ('OK')	image/jpeg	etag:%2214dc367d-8bf3-5800022d08700%22	https://sojonever.com/html/zuman/img/work_details_04.jpg	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/work_details_04.jpg	(from https://sojonever.com/html/zuman/work-details-4.html)
13:39:20	9955/9955	---M--	200	added ('OK')	image/jpeg	etag:%2214dc3679-26e3-580009df52f80%22	https://sojonever.com/html/zuman/img/work_06_01.jpg	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/work_06_01.jpg	(from https://sojonever.com/html/zuman/work-details-6.html)
13:39:20	36772/36772	---M--	200	added ('OK')	image/jpeg	etag:%2214dc367e-8fa4-58000cc177d00%22	https://sojonever.com/html/zuman/img/work_details_05.jpg	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/work_details_05.jpg	(from https://sojonever.com/html/zuman/work-details-5.html)
13:39:21	15949/15949	---M--	200	added ('OK')	image/jpeg	etag:%2214dc367a-3e4d-58000ce5b5280%22	https://sojonever.com/html/zuman/img/work_06_02.jpg	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/work_06_02.jpg	(from https://sojonever.com/html/zuman/work-details-6.html)
